Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
3059743;1000123009677063207;63791268240713;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059764;1000123009782085984;63791268240713;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059783;1000123009877106422;63791268240713;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059802;1000123009972127457;63791268240713;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059824;1000123010082150876;63791268240755;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059924;1000123010582531374;63791268241721;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059943;1000123010677602096;63791268241721;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059964;1000123010782675213;63791268241721;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3059983;1000123010877738669;63791268241721;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060002;1000123010972799150;63791268241721;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060024;1000123011082866597;63791268241752;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060042;1000123011172918663;63791268241852;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060064;1000123011282824243;63791268241957;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060083;1000123011377788967;63791268242056;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060102;1000123011472767256;63791268242152;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060124;1000123011582769409;63791268242267;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060142;1000123011672772043;63791268242367;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060164;1000123011782781508;63791268242468;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060183;1000123011877792779;63791268242569;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060202;1000123011972806845;63791268242672;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060224;1000123012082826315;63791268242768;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060242;1000123012172845267;63791268242870;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060264;1000123012282941435;63791268242965;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060283;1000123012377960422;63791268243067;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060302;1000123012472983735;63791268243167;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060324;1000123012583005638;63791268243266;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060342;1000123012673028263;63791268243367;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060364;1000123012783052466;63791268243467;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060383;1000123012878075076;63791268243566;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060402;1000123012973097802;63791268243666;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060424;1000123013083196303;63791268243767;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060442;1000123013173273292;63791268243866;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060464;1000123013283361788;63791268243966;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060483;1000123013378433883;63791268244067;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060502;1000123013473502398;63791268244143;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060524;1000123013583576193;63791268244276;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060542;1000123013673695419;63791268244346;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060564;1000123013783653216;63791268244475;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060583;1000123013878709118;63791268244546;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060602;1000123013973762579;63791268244641;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060623;1000123014078729413;63791268244779;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060642;1000123014173719659;63791268244842;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060664;1000123014283717906;63791268244977;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060683;1000123014378717647;63791268245076;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060702;1000123014473782176;63791268245143;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060724;1000123014583787290;63791268245277;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060742;1000123014673789064;63791268245343;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060764;1000123014783799320;63791268245476;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060783;1000123014878808223;63791268245546;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060802;1000123014973818569;63791268245643;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060823;1000123015078832355;63791268245774;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060842;1000123015173848626;63791268245876;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060864;1000123015283863523;63791268245978;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060883;1000123015378880052;63791268246076;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060902;1000123015473900580;63791268246143;(0.670, 1.607, 0.396);(-0.075, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060923;1000123015578991641;63791268246277;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060942;1000123015674010547;63791268246343;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060964;1000123015784101048;63791268246474;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3060983;1000123015879179244;63791268246576;(0.671, 1.607, 0.395);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061001;1000123015969252770;63791268246643;(0.671, 1.607, 0.395);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061023;1000123016079336942;63791268246777;(0.670, 1.607, 0.396);(-0.075, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061042;1000123016174406092;63791268246843;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061064;1000123016284482230;63791268246978;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061083;1000123016379544877;63791268247075;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061102;1000123016474604066;63791268247143;(0.671, 1.607, 0.396);(-0.075, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061123;1000123016579665337;63791268247276;(0.671, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061142;1000123016674718687;63791268247343;(0.670, 1.607, 0.396);(-0.074, 0.067, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061164;1000123016784709163;63791268247452;(0.671, 1.607, 0.396);(-0.074, 0.066, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061183;1000123016879702027;63791268247552;(0.671, 1.607, 0.396);(-0.075, 0.066, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061201;1000123016969754776;63791268247652;(0.671, 1.607, 0.396);(-0.074, 0.066, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061223;1000123017079748811;63791268247753;(0.671, 1.607, 0.396);(-0.073, 0.066, -0.018, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061242;1000123017174744614;63791268247853;(0.671, 1.607, 0.395);(-0.077, 0.065, -0.017, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061264;1000123017284747770;63791268247952;(0.670, 1.607, 0.394);(-0.072, 0.053, -0.017, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061283;1000123017379751041;63791268248085;(0.671, 1.608, 0.393);(-0.065, 0.039, -0.026, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061301;1000123017469752741;63791268248152;(0.674, 1.613, 0.389);(-0.076, 0.022, -0.063, 0.995);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061323;1000123017579763384;63791268248252;(0.684, 1.626, 0.380);(-0.123, 0.015, -0.156, 0.980);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061342;1000123017674771953;63791268248352;(0.695, 1.633, 0.364);(-0.119, -0.013, -0.227, 0.967);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061364;1000123017784786583;63791268248452;(0.699, 1.640, 0.343);(-0.127, -0.031, -0.283, 0.950);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3061383;1000123017879799495;63791268248553;(0.698, 1.651, 0.313);(-0.140, -0.062, -0.337, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
